label,text
1,"Buddy, this is a private party."
1,So we'll need you to go home and bring in everything you ever received from Clementine and anything that might remind you of her...
0,Welcome to the future... brother.
0,"My enemy's enemy is my friend, no? So, come in, friend."
1,"What's happiness to you, David?"
1,I believe I have found a faster way.
1,You're all a bunch of stupid sons a bitches!
1,"It was the first time somebody ever saw the real me, the me that nobody else knows."
0,"Please, Mom. This is not the time to be yourself."
0,I kiss you and you say 'augh'?!
0,We'll dispose of these mementos when we're done here. That way you won't be confused later by their unexplainable presence in your home.
0,That's some weird fucking shit Eh Bud? What's going on man?
1,I can't believe Helen's bottle broke.
1,Sometimes I think I'm crazy when I'm just hungry -- Ada Monroe.
1,Just say it - you'll see.
1,When he's gone the family business will be yours.
1,"I mean, he must have been needing that."
1,Each and every one of these kids just so happens to be 21 years old.
1,The guy got sick and couldn't come in.
0,The only time a whore should open her mouth is when she's giving head.
0,We can't stop here - this is bat country!
1,Plenty more where that came from.
1,Cut off the infidel's hand.
1,"This was a good idea, Lunchbox."
1,"Jeff, you don't have to be deliberately repulsive just to impress me I'm wrong."
1,Sometimes I wish I was back in that garage...
0,Have you any idea what these things cost over here?
1,Will you save my mother first?
0,"Paulie, pull over. I gotta take a leak."
0,Watch me run a fifty yard dash with my legs cut off!
0,"Shabat Shalom, motherfuckers."
1,That's why I'm the king around here.
0,"Well Juliet, I will lie with thee tonight."
0,Dad has a patient who dreams he shits trout.
1,She's gotta live a little before her body dries up!!
0,"A naked, American man stole my balloons."
0,"That your ransom video already has 47,000 hits on YouTube. And all the major networks are playing it, including Al Jazeera. So, now your captors have no choice but to follow through."
1,"So... will you kill us all, then?"
1,He doesn't give a shit about anyone.
0,Now you know.  If you have an appointment elsewhere--I'll excuse you.
0,"What are you starin' at, you bald- headed Jew prick?!"
1,I've lost him.
1,You look so much more attractive when you're self- assured.
0,You're not someone I could get interested in. Craig. You play with dolls.
0,So you never wrapped your legs around this Inman?
0,"Conversation, like certain portions of the anatomy, always runs more smoothly when it's lubricated."
1,"Eyes on the prize, Nat."
0,All we gotta do is tell the story right...
